shop_name,shop_address,location
盱眙面馆(古柏店),古柏镇经济开发区茅山路51-2号03栋商住楼104,"118.945451692,31.3671361338"
舞茶道(天河路店),天河路28号,"121.586044,38.9912851056"
新食客中式连锁快餐(古柏店),茅山路109号,"118.945668707,31.3674002322"
小笼汤包,南漪路2-2,"118.88869115,31.3294383326"
小柒私房菜,淳溪镇小河路56号1幢105号,"118.878200169,31.3256255757"
虾跳跳,淳溪镇宝塔路133号-3,"118.889637826,31.3304700287"
桥头排骨(古柏店),古柏镇茅山路商业街A51号,"118.94736101,31.3679536784"
奇鱼夫,淳溪镇小河沿56号4幢曼度老街东,"118.878166303,31.3255862716"
杨铭宇黄焖鸡米饭(古柏店),古柏镇茅山路,"118.934393119,31.3976730486"
蒙缘聚草原烧烤,固城湖北路25号,"118.883620544,31.3317624647"
虾咔啦咔精品龙虾馆,丹凤路华天菜场西门对面,"116.42049789,39.9088136579"
茶研社,茅山路24号,"119.368091259,34.6840684608"
爱小西私家美食,淳溪镇宝塔路142-3号,"118.884831894,31.3295284066"
正新鸡排(高淳店),高淳县淳溪镇天河路78号,"118.971899793,31.3363813481"
大脸鸡排(华天店),淳溪镇北漪路8号6幢3号,"118.887976278,31.3322781892"
老北京羊蝎子火锅,淳溪镇镇北路34号,"118.870920617,31.3276839413"
椿林麻辣烫(高淳店),镇北路26-13号,"118.874030714,31.329430993"
贵州米粉米线,栗园路15号,"118.87787094,31.3317172769"
龙门花甲(高淳店),学山路97号,"105.067552793,29.5912034276"
桥头排骨(华天店),北漪路16号,"118.888704094,31.332499291"
大脸鸡排(古柏店),茅山路古柏菜场B29号,"118.945337307,31.3675889945"
舞茶道(北漪路店),北漪路10号,"118.888945775,31.3315870141"
沪上阿姨现煮茶饮(富克斯店),富克斯商场负2楼,
山鸡里脊肉麻辣烫(栗园路店),淳溪镇栗园路17号,"118.877916843,31.3317478133"
豪客多奶茶连锁专卖店(襟湖路店),襟湖路6-6号,"118.871055058,31.3262951502"
椿林椿林麻辣烫,古柏镇桃源雅居A区茅山路A18号,"118.946877476,31.3670728192"
黑泷太郎,淳溪镇淳中路37号20号,"118.874950728,31.3302811287"
正宗桂林何记米线,栗园路13号,"118.877775181,31.3316582861"
汤不留面馆,淳溪镇金地康城胥河路72号附近,"118.899348568,31.341243866"
巴国面莊(古柏店),古柏镇桃源雅居A区茅山路A45号,"118.946877476,31.3670728192"
卤人甲,淳溪镇北岭路96-37,"118.878183947,31.3369708398"
顶呱呱酸菜鱼,淳溪镇康乐路96-46号,"118.871734885,31.3308277452"
金陵鸭血粉丝汤(宝塔路店),宝塔路188-2号,"118.888970151,31.3297132114"
口渴了(八佰伴店),淳溪镇宝塔路61号八佰伴一楼,"119.456293002,32.2104476323"
上海阿姨奶茶,北漪路5号5栋,"118.887513571,31.3322292807"
蜀烩冒菜(高淳总店),淳溪镇中山大街166号,"118.873679546,31.3276280925"
古柏邢家烧烤,古柏菜场北门平房2号重庆小面旁边,"106.448341063,29.5564430919"
汉堡小子,淳溪镇丹凤新村218号,"118.887220688,31.3324662373"
庙东排骨,淳溪镇淳中路37号-7,"118.874950728,31.3302811287"
开心花甲(高淳店),学山路33号,"105.067773073,29.5908355376"
口渴了(高淳店),通贤街21号,"118.875193091,31.3271303004"
绝味鸭脖(华天店),淳溪镇北漪路8-106号,"118.888665907,31.3320992899"
聂氏土菜馆,宝塔路350-49号,"118.909275764,31.3335567539"
猫山王旗舰店(华天购物广场店),宝塔路39号7栋,"118.881610244,31.3298419285"
意麦披萨,淳溪镇石臼湖北路19号5幢19-22,"118.893677222,31.3403603481"
久运黄焖鸡米饭,淳溪镇镇兴路89号-1,"118.880036305,31.3346996198"
福兰饭店,宝塔路16-2号,"119.030176937,31.6668530952"
德汀烘焙(镇北路店),淳溪镇镇北路28-3号自来水公司对面,"118.873513412,31.3291893805"
川香鱼,宝塔路350号,"118.909421908,31.3354143173"
凉亭冷饮批发,淳溪镇宝塔路丹凤雅苑北门面房101-48号,"118.885687227,31.3324394169"
胡肖花甲(栗园路店),高淳区栗园路26号,"118.878435769,31.3315514697"
淮南牛肉汤馆(王师傅),淳溪镇中山大街225号259-,"118.872419887,31.3288143438"
比比Q,古柏新城区菜市场103号,"108.991538658,34.2714737802"
巴弟鸡排(高淳华天店),北漪路8号5-5号,"118.887752121,31.3322575618"
回家吃饭(北岭路店),淳溪镇北岭路180-18、19号,"118.895197501,31.338767396"
涮捞煮义,宝塔路269号红太阳财智广场,"115.847704802,27.4281475731"
如意馄饨(悦达广场店),镇兴路138号,"118.880609155,31.3344144676"
十里飘香烤猪蹄(古柏店),古柏街道茅山路A区桃园雅居A2,"118.945386094,31.3663728521"
叫了个炸鸡,淳溪镇天河路7-8号,"118.871285222,31.3277095408"
多多家的店(古柏店),古柏镇经济开发区茅山路北侧（新区医院以西）0-13号,"118.94806588,31.367366046"
大脸鸡排店,固城镇人民南路89号,"118.979110577,31.3122761235"
金陵鸭血粉丝汤(镇北路店),镇北路32-6号,"118.871338949,31.3284959908"
飞丝披萨,淳溪镇学山路22号7室,"118.876893943,31.330021102"
友一家饭店(固城湖北路店),淳溪镇固城湖北路55号-26,"118.88404715,31.3371683315"
金田食府,淳溪镇石臼湖北路69号-22、23,"118.893564786,31.3435791508"
蜜菓蜜制鲜饮(天河路店),淳溪镇天河路78号,"118.872203081,31.328599271"
来又来大骨麻辣烫,镇北路26-6号,"118.874367158,31.329521456"
栗园鸭血粉丝汤(栗园路店),淳溪镇栗园路28-2号,"118.878761646,31.3318849786"
汉伯格(小精灵儿童乐园),桠溪镇希望路与301县道交口南侧,"119.14312473,31.3665514233"
张亮麻辣烫,南漪路2号,"118.888637273,31.329550058"
山东杂粮煎饼(宝塔路店),淳溪镇宝塔路25号,"118.879868657,31.3287510791"
华润苏果(高淳北漪路购物广场店),北漪路9号苏果超市,"118.888687382,31.333341528"
香锅锅时尚餐厅,淳溪镇北漪路5号3-19,"118.887104965,31.3322272682"
王氏酸菜鱼,栗园路23-4号,"118.878318896,31.3318491137"
惠天下酒楼,淳溪镇华天菜场,"118.892243288,31.3391536959"
串滋味,丹阳湖北路17号,"118.902087055,31.3367627458"
板栗酥饼,北漪路5号1幢2号,"118.887834765,31.3322464192"
安心家常便饭(宝塔路店),宝塔路79号,"118.884461124,31.3298673524"
卤人甲(华天北门店),淳溪镇北漪路5号3-18,"118.88722787,31.3323763909"
绝味鸭脖(天河店),淳溪镇天河路76号,"118.872123132,31.3286385995"
蓝香特色大肠面馆(双牌石店),漆桥镇漆桥北路6号,"119.000578305,31.3912753193"
娘舅家厨房,淳溪镇北岭路29号2幢12号,"118.883745557,31.338658178"
澳洲花甲(高淳总店),淳溪镇镇北路13-4号,"118.876047021,31.3301273259"
蜜菓の蜜制鮮飲,古柏镇茅山路3号,"118.943645458,31.3655268283"
老鸭汤泡锅巴,淳溪镇天河路86号1幢101-1,"118.872318249,31.3291050995"
甜儿花甲(固城店),人民南路33号,"112.574531532,37.7333788963"
彭德楷黄焖鸡米饭(古柏店),古柏镇茅山路A区32号,"118.936026716,31.3600769304"
稀奇古怪怪味小吃,淳溪镇北岭山庄5号,"118.876581311,31.3348193082"
午后奶茶,淳溪镇宝塔路39号7幢111室,"118.881633711,31.329212474"
张记花样小吃坊,淳溪镇石臼湖北路19-10号,"118.893440118,31.3400048883"
享甜,淳溪镇宝塔路23-7号,"118.879316751,31.3286204775"
7号便当,淳溪镇中山大街207号,"118.872920962,31.32772039"
美珍小吃,南漪路85-4号,"118.889682968,31.3238921944"
如意馄饨(富克斯店),富克斯流行广场负二楼,"118.876320465,31.3293396574"
美石记石锅拌饭,淳溪镇碧桂园商业街,"113.344584408,22.8021210896"
浪漫鼠水吧,茅山路b区b15号,"119.345422763,31.3598175255"
骐可茶饮(原阿曼达),淳溪镇北漪路9号,"118.888687382,31.333341528"
雪洛可,淳溪镇宝塔路196号1幢101室,"118.890239443,31.3298915048"
缘自来面馆,淳溪镇镇兴路117号-11室三中门口,"118.883217654,31.3345282047"
吉祥馄饨,宝塔路350-61号,"118.90949948,31.3331129173"
品味麻辣烫,栗园路31号-1,"118.878571414,31.3321049262"
哈姆特奶茶,北漪路5幢5-8号,"118.887077957,31.3320967918"
吃饭吧-土耳其烤肉饭,淳溪镇宝塔路101号-46,"118.885298785,31.3323833109"
小竹签麻辣粉丝,淳溪镇小河路小河沿30号,"118.877416727,31.3268526568"
青露,淳溪镇甘霖路北岭山庄南50米,"118.892243288,31.3391536959"
好味道中式快餐连锁,漆桥镇漆桥西路64号,"118.998126021,31.3959262237"
蜀一蜀二川菜馆,宝塔路350-50号附近,"118.909049705,31.3336204355"
庐州百味鸡,华天菜场北门,"113.016070373,28.1707917458"
中国兰州拉面(双牌石店),高淳县漆桥镇漆桥西路18号,"118.99895848,31.3666067787"
仕客德汉堡(栗园路店),淳溪镇栗园路1号1幢-6,"118.876561164,31.3309138597"
瑶小姐的奶茶店,双牌石大街2号,"119.000629329,31.3964956495"
珍珍小吃店(淮南牛肉汤),淳溪镇淳东路27号,"118.880938151,31.3312739169"
慢城生态蔬果直营店,淳溪镇淳南路99号景桥茗苑15栋-9室,"118.887793724,31.3206070951"
匆忙客,淳中路36-2号,"118.875252829,31.3303806049"
雨阁披萨,淳溪镇温州商贸城46号,"118.883636498,31.3284022336"
