shop_name,shop_address,location
港粤汇,龙华路107号（过长江隧道）,"114.740534024,30.5438099265"
源香潮汕粥(弘阳广场店),大桥北路48号弘阳广场B2区F2层02号,"118.735632352,32.1405255441"
食轻堂.LightHouse,柳州东路6号印象汇后街商铺旭日上城3期1栋,"118.74136668,32.1470026254"
欢乐牧人蒙古炭烤羊排(老浦口1914店),柳洲东路老浦口1914商业街,"118.748229495,32.142855299"
黄金包饭供需间(浦口印象汇总店),弘阳广场印象汇后街3号胡同巷内,"118.728854198,32.1462827247"
鼎峰馅饼(泰亿店),大厂街道芳庭路泰亿步行街B-2-104号,"118.742509617,32.2204633837"
豪栈铁板烧(慕斯荟店),浦珠南路26号慕斯荟4楼,"118.652375985,32.0796107087"
西贝莜面村(南京印象汇店),大桥北路58号印象汇2楼,"118.728854198,32.1462827247"
荣记潮汕牛肉火锅(公园北路店),公园北路6号1幢101室,"118.639770843,32.0704917088"
新石器烤肉(浦口大润发店),江浦街道新浦路126号同心社区中心大润发超市一层,"118.646113321,32.0603184405"
花味(天悦城店),百润路9号天悦城2层,"118.740312833,32.1567715854"
老川浦大酒店,浦园路1号,"118.723664,32.1078660301"
萌芽音乐餐厅吧(公园北路店),江浦街道珠海路1号彤德莱二楼,"118.637539697,32.0715660357"
京茶山手作茶物(弘阳广场店),柳州东路6号06幢104室,"118.729245694,32.1473766467"
韩宫宴炭火烤肉(南京印象汇店),大桥北路58号印象汇4层,"118.728854198,32.1462827247"
1点点(新一城店),旭日上城6幢，新一城旁边,"118.743405238,32.1431535618"
言初龙虾（言初酱香螃蟹）(桥北店),江山路9号和天下家园02栋10号,"118.742807899,32.1344119607"
嬉鲸日式料理,泰达路旭日爱上城六期14栋一楼底商,"118.728367751,32.1447255996"
诱色鱼(京新广场店),桥北柳州东路189号京新广场三楼-16,"118.74975643,32.1475499677"
茶野(弘阳广场店),大桥北路弘阳广场负一楼,"118.735632352,32.1405255441"
DQ,浦珠南路26号慕斯荟广场4F406,"118.652930389,32.0800488113"
Mr.Pizza米斯特比萨(南京新一城店),浦口区大桥北路58号新一城4F,"118.728008189,32.1465943517"
鱻居酒屋(印象汇店),柳州东路旭日上城3区122室,"118.732052127,32.1468743149"
大成醉串串(金盛田店),龙华路8号金盛田广场二楼,"125.123088755,46.5362688169"
塔可墨西哥餐厅(印象汇店),大桥北路58号印象汇购物中心4楼,"118.728854198,32.1462827247"
屿蓝甜品生日蛋糕,大桥北路37号金都汇3幢805,"119.976080418,30.4026761066"
厝内小眷村(江浦店),江浦街道二条巷,"118.632448472,32.0651546024"
花签签串串香(京新广场店),柳州东路189号京新广场4楼,"118.74975643,32.1475499677"
NOBIBI 冰淇淋,江浦街道金盛田广场一楼永辉超市入口旁,"121.543044186,31.3106195867"
鱼跃亭日式创作料理(澳林广场店),浦珠北路126号澳林广场B区B1层,"118.706332355,32.1189156386"
悠卷烧饼(澳林广场店),澳林广场负一楼美食街第一家,"118.706332355,32.1189156386"
京成一品欢乐烤场(金盛田店),江浦街道龙华路8号金盛田广场二楼,"118.647013161,32.0746947935"
汉堡王(南京慕斯荟店),江浦街道紫晶龙华广场一楼110号商铺,"118.652775985,32.0798843556"
酵墅(印象汇店),大桥北路58号印象汇1层,"118.728854198,32.1462827247"
鱼蛙相恋鱼无双(桥北店),弘阳旭日上城三区105商铺门面房,"118.730226974,32.1465162629"
新石器烤肉(新一城店),大桥北路58号新一城B1楼,"118.728008189,32.1465943517"
YES烤鱼(老浦口1914店),江山路老浦口1914商业街2号楼,"118.751195939,32.1424495864"
巴黎贝甜(浦口市民中心店),江浦街道象山路市民中心,"118.632430865,32.0728357045"
鱼井(澳林广场店),浦珠北路126号澳林广场B区B1层,"118.706332355,32.1189156386"
过锅瘾三汁焖锅(印象汇店),大桥北路58号印象汇B1层,"118.728854198,32.1462827247"
御料亭(印象汇店),新一城4楼,"116.47929308,39.999301257"
必胜客(澳林广场店),浦珠北路126号1F-2F,"118.705215693,32.1184060866"
蜀锦香厕所串串(弘阳广场店),旭日上城3期15幢109号，弘阳A座后面,"118.731410132,32.1461285698"
313羊庄(天润城店),天华南路天润城十六街区沿街商铺,"118.731383618,32.1533048096"
北疆饭店(印象汇店),大桥北路58号印象汇3楼,"118.728854198,32.1462827247"
满记甜品(新一城店),浦口区大桥北路58号新一城一楼,"118.728008189,32.1465943517"
满香堂潮汕砂锅粥(文德路店),文德路5-3号金浦广场后,"118.634223986,32.0636763649"
又卷烧饼(印象汇店),大桥北路印象汇负一楼,"118.728854198,32.1462827247"
源香潮汕粥(金盛田广场店),龙华路8号,"125.123088755,46.5362688169"
拉卡花园餐厅,上河路2号林公堤民国风情街9号楼,"103.62339933,30.5138490698"
豪客来牛排(桥北印象汇店-0609),大桥北路58号新一城购物中心B1-07b,"118.728179915,32.1465490643"
85度C(新一城店),大桥北路58号新一城购物中心01-11、01-14a商铺,"118.729641099,32.1458202484"
新辣道鱼火锅(新一城店),大桥北路58号新一城4层,"118.728008189,32.1465943517"
江北虾神,火炬南路旭日爱上城3区对面金筷子菜馆对面,"118.725162866,32.1370091387"
汉牛仕(印象汇店),大桥北路印象汇四楼,"118.728854198,32.1462827247"
元祖食品(南京桥北店),浦口区天华南路5号天润城第十六街区商业08栋118室,"118.730214801,32.1496783937"
168精品龙虾,江浦街道河滨路7-6号,"118.636258827,32.0666683176"
汉堡王(南京浦口市民中心),市民中心A栋1楼9号,"120.216634236,30.2518749724"
高虾神龙虾(明发店),江山路明发滨江新城小三期325栋101室,"118.744822784,32.1265966673"
仙芋世家(弘阳广场店),柳州东路6号旭日上城3区15栋108室,"118.74136668,32.1470026254"
汉堡王(南京新一城店),大桥北路58号第一层编号01-01商铺,"118.728244144,32.1465957886"
蛙天下时尚干锅(天润城十六街区店),天华南路5号天润城05幢112室,"118.730214801,32.1496783937"
千之代日式料理,柳洲东路京新广场3楼,"118.74975643,32.1475499677"
麦田印象(万江共和店),锦嘉路与新马路交叉路口万江共和小区沿街商铺109,"118.713418255,32.1124851203"
大刘龙虾(天润城店),百润路8号天润城13街区008栋105室,"118.741387342,32.1603057835"
川浦美蛙鱼火锅(北江豪庭店),雨山西路155栋109室,"118.506887383,31.6786283416"
一点点(明发滨江外滩广场店),滨江大道1号永辉超市出口处,"118.749077376,32.1370164667"
谢记甜品(弘阳店),浦口区大桥北路48号弘阳广场B1馆负一层,"118.730648134,32.1449059908"
鸭得堡老鸭汤鸭血粉丝(旭日上城店),柳洲东路6号01幢,"118.72938874,32.1474467121"
CoCo都可(南信大店),南京市浦口区盘城镇龙山北路六号楼30号,"118.723840886,32.206803456"
苏A.3D105酒吧,东方万汇城3栋105室,"114.260356815,22.7247095666"
小杨生煎(南京印象汇),大桥北路58号B1002,"118.728244144,32.1465957886"
蓉李记成都名小吃(新一城店),浦口区大桥北街58号深国投广场负一楼,"118.569124785,32.0590623005"
糊世刺身(老浦口1914店),江山路19号老浦口1914商业街,"118.748229495,32.142855299"
西树泡芙(桥北大洋店),大桥北路48号弘阳广场C1栋1楼,"118.729965387,32.1444253752"
阿木龙虾土菜馆(印象汇店),桥北柳洲东路印象汇（原新一城）停车场出口处对面旭日上城美食街,"118.728854198,32.1462827247"
王家味川菜馆(金盛田店),龙华路8号金盛田广场二楼,"125.123088755,46.5362688169"
米棒台湾饭团(江浦店),江浦街道珠泉农贸市场,"118.642520286,32.0623079943"
蟹小漾肉蟹煲(印象汇店),大桥北路58号印象汇4层,"118.728854198,32.1462827247"
沙拉拉轻食(弘阳广场店),柳州北路浦外路28号旭日爱上城6期12幢105,"118.725511027,32.1364814195"
老土灶(印象汇店),大桥北路58号新一城4楼,"118.728008189,32.1465943517"
CoCo都可(澳林广场店),南京江北新区浦珠北路126-2号澳林商业广场101室,"118.705535879,32.1186931557"
源香潮汕粥(新一城后街店),柳州东路6号1幢111室,"118.729245694,32.1473766467"
奶酪时光(市民中心店),浦口江浦市民中心C栋一层,"118.632430865,32.0728357045"
喜兰小厨,江浦街道公园北路凯莱花园商业2幢119室、218室,"118.639025905,32.0706307547"
江南小镇(市民中心店),城运路市民中心C栋一层,"118.632430865,32.0728357045"
秦都biangbiang面(公园北路店),公园北路52-10号,"118.633904469,32.0692207254"
勾魂凉皮,天华东路天悦城商场2楼,"112.895964677,28.2085729888"
水脉堂海鲜粥(印象汇店),大桥北路58号印象汇4层,"118.728854198,32.1462827247"
食其家(天悦城店),百润路9号天悦城1层,"118.740312833,32.1567715854"
米棒台湾饭团(天润城店),百润路4号天润城地铁口三号出口向东50米,"118.741173859,32.1563213849"
老顺昌酒店,河滨路7-5号,"116.735441184,24.723109971"
必胜客(龙华路店),地铁10号线龙华路站03号地铁铺,"116.336336034,39.8501410995"
石头鱼秘制焖锅(澳林广场店),浦珠北路126号澳林广场B区B1层,"118.706332355,32.1189156386"
首釜年糕火锅(慕斯荟店),紫晶龙华广场慕斯荟4楼,"118.652375985,32.0796107087"
柠檬鱼(公园路店),公园北路10号,"118.636771988,32.0695768432"
一品麻辣香锅(金浦购物中心店),江浦金浦购物中心南门处，步行街5-17号商铺,"118.635357893,32.0644092822"
MIX CONCEPT 尚无界咖啡,新马路185号万江共和新城老码头商业街31幢108MIXCONCEPT,"118.707461397,32.1157529151"
周黑鸭(江苏南京桥北大洋店),桥北区大桥北路48号桥北大洋一楼,"103.843219526,36.0727197799"
