shop_name,shop_address,location
海心阁海鲜茶餐厅(金奥国际店),江东中路329号金奥国际购物中心4层,"118.732363503,32.0047803347"
三袋寿司(建邺万达店),江东中路98号建邺万达广场万达百货B1楼,"118.742551545,32.0388172528"
鮨·原箸,江东中路236号华灯坊1楼,"118.730557749,32.0053670938"
赵崽儿川式面品料理(金鹰世界店),应天大街888号金鹰世界内九层f902商铺,"118.746944372,32.0290619339"
朴家韩国料理(缤润汇店),楠溪江东街83号缤润汇购物中心B208号,"118.736115822,31.9988664889"
Pizza Marzano玛尚诺(金鹰世界店),应天大街888号金鹰世界1层F124商铺,"118.746944372,32.0290619339"
greenjoy绿享轻食(金鹰世界店),应天大街888号金鹰世界B1层W12,"118.746944372,32.0290619339"
外婆私房菜(中央商场店),江东中路237号,"118.738298069,32.0128514045"
楼兰新疆主题餐厅(南京金鹰世界店),应天大街888号金鹰世界7层F720,"118.746944372,32.0290619339"
和风食堂(奥体店),庐山路128号东渡新锐国际后面一楼158号,"118.737572507,32.0088297377"
西贝莜面村(南京缤润汇店),楠溪江东街83号滨润汇购物中心1楼,"118.736599091,31.9991231608"
吉炭吾家烧肉,江东中路236号华灯坊1楼,"118.730557749,32.0053670938"
清真·豫味小斋胡辣汤,万达西地一街区福园街129-8号,"118.74363598,32.0363826198"
豆浆的悦食生活,庐山路244号,"118.727326448,31.9947028021"
老友记海鲜烧烤,云河路与集庆门大街交叉口东南角,"118.767119554,32.0273772066"
避风塘(南京建邺万达店),江东中路98号万达购物中心3楼,"122.80833237,40.9288736989"
欧德堡1919德式西餐厅(金奥国际店),江东中路329号金奥国际购物中心4层,"118.732363503,32.0047803347"
花味(河西金鹰店),河西金鹰天地广场8楼F813铺,"117.236165451,39.0844937396"
西贝莜面村(金鹰世界店),应天大街888号L815-1,"118.74708154,32.0294621316"
多喜渔市·葉の寿司(缤润汇店),楠溪江东街83号缤润汇购物中心二楼L203,"118.735834825,31.9990082836"
夜上海(虹悦城店),应天大街619号虹悦城4层,"118.772547855,32.0151614877"
雪香东北菜(虹悦城店),应天大街619号虹悦城5层,"118.772547855,32.0151614877"
井水小厨(中央商场店),江东中路237号中央商场3层,"118.738524532,32.0126947971"
新石器烤肉(虹悦城店),应天大街619号虹悦城B1-W16号,"118.770597452,32.0150492765"
食其家(金鹰世界店),应天大街888号金鹰世界广场负一楼FB04商铺,"118.746944372,32.0290619339"
普林奇Mai pizza西餐厅(河西万达店),福园街135号,"118.743330376,32.0369700108"
未末we.more烘焙餐厅,楠溪江东街81号金润国际广场缤润汇一楼,"118.735834825,31.9990082836"
1988烤鸭舌,应天大街865号,"118.750031669,32.0254460581"
私密清吧,云河路10-5号,"118.769890258,32.0282266976"
喜粤轩(中央商场店),江东中路237号雨润国际广场河西中央商场2楼,"117.236165451,39.0844937396"
六年二班串串(奥体店),元通地铁站5号出口金源美食广场负一楼,"118.729586172,32.0018314085"
LaMona 拉莫纳,奥体大街奥体中心南商务区C59号停车柱,"118.730090251,32.0154598049"
正大海鲜馆(应天大街店),应天大街835-8号,"118.753994168,32.0234705649"
炎寿司专门店(奥体店),恒山路126号-7,"118.741725285,32.0076504755"
维多利亚港咖啡VICTORIA BAY CAFE(金鹰世界店),应天大街888号金鹰世界2层F202,"118.746944372,32.0290619339"
Mr·Pizza米斯特比萨(金鹰世界店),应天大街888号金鹰世界7层F704商铺,"118.746944372,32.0290619339"
嘿鱼弄(奥体店),"奥体大街177号环宇融侨广场一楼自然村隔壁(地铁2号线奥体东站,1号出口,沿江东中路走100米过红绿灯右转进入奥体大街走400米即到)",
首尔先生炭火烤肉,河西万达西地二街区集庆门大街220-61号,"117.236165451,39.0844937396"
铁男撸涮小酒场(河西万达店),万达广场西地福园街214-18号,"116.441665049,39.9497081102"
千里湘(缤润汇店),楠溪江东街83号缤润汇广场负1楼B105室,"118.735834825,31.9990082836"
兄弟龙虾(止马营店),南京止马营28-9华泰证券对面,"118.778220293,32.0400566973"
黄氏龙虾(朝天宫店),朝天宫西街11-6号,"118.779199805,32.0412994153"
佰人王串串香火锅(水西门店),水西门大街213号美高美大厦,"118.757988201,32.0393986397"
楼兰新疆主题餐厅(缤润汇店),楠溪江东街83号缤润汇购物中心负一楼B104号,"118.735834825,31.9990082836"
荣记潮汕牛肉火锅(万达店),集庆门大街220－36号万达西地二街区,"118.740970979,32.0367772093"
沪茗轩小馆,江东路236号华灯坊商铺二楼,"118.730557749,32.0053670938"
南湖大肉面,南湖东路育英村43号13栋102室,"118.764433145,32.0333331911"
茶野(河西金鹰店),应天大街888号金鹰世界4楼光年公园内,"118.746944372,32.0290619339"
新记火爆(文体路店),文体路97号,"118.764052488,32.0264191965"
喜乐日本料理(建邺万达店),集庆门大街214-9号,"118.74347484,32.0352758272"
火筒三烤肉小龙虾(奥体店),奥体大街177号环宇美食广场1楼,"118.730154372,32.009882181"
喜喜港式餐厅(河西华灯坊店),江东中路236号华灯坊美食街，广发银行大厦一楼,"118.729895618,32.0046864784"
厨娘.CN(河西中央店),江东中路237号雨润中央商场3楼,"118.738438314,32.0131204462"
望湘园(金鹰世界店),应天大街888号金鹰世界7楼F709,"118.746944372,32.0290619339"
APE CUBE猿立方箱式西餐吧,云锦路169号乐基广场负一层b07,"118.747832406,32.0305882686"
河风精致寿司,福园路129-52号,"118.743896668,32.0369410087"
必胜客(雨润中央店),江东中路237号一层，二层,"118.73856801,32.0131320113"
晋家门(建邺万达店),江东中路98号河西万达广场3层,"117.236165451,39.0844937396"
必胜客(南京万达江东路店),江东中路98号一层必胜客,"118.74304741,32.0383917936"
巴黎贝甜,河西万达广场福园街129-33号,"117.236165451,39.0844937396"
源香潮汕粥(建邺万达店),江东中路号万达二街区220-6号,"118.741851833,32.0365034883"
原麦山丘(万达店),江东中路万达广场1层169号,"118.74266583,32.0385846932"
小辉哥火锅(建邺万达店),江东中路98号建邺万达广场3楼301、302、381、382号,"118.743858531,32.0389956613"
望湘园(南京虹悦城店),应天大街619号虹悦城4楼,"118.772547855,32.0151614877"
麦隆咖啡MellowerCoffee(奥体大街店),奥体大街130号奥体名座F座1-2楼,"118.735515118,32.0082150668"
Hey Sweety嘿 恬心蛋糕店,水西门大街291号万达金街西区119号,"118.74950964,32.0392862503"
素匠泰茶(奥体元通店),江东中路339-6元通地铁站5号口左手5间,"118.72964787,32.001663798"
